hours_of_sleep_last_night,steps_walked_today,typing_speed_wpm,eye_openness_percent,meetings_attended,snooze_count,last_meal_type,current_weather,outfit_choice,browser_tabs_open,Coffee_Needed_Level
4.9,10748,22,15,7,0,1,1,2,0,0
3.8,11431,113,44,1,3,2,1,2,2,0
4.4,9053,97,84,5,2,1,0,2,1,1
6.5,14617,103,11,1,4,2,2,2,0,0
3.4,1605,72,6,8,4,2,2,3,2,0
4.5,2341,108,85,1,2,2,3,0,1,1
7.3,12882,22,53,7,1,2,0,1,1,1
10.0,13906,12,37,6,1,0,1,0,1,1
7.0,17354,49,22,3,4,2,3,3,0,0
4.2,19000,114,64,6,0,0,2,1,2,1
5.3,3517,110,43,3,5,2,1,2,2,0
6.1,4421,73,3,4,5,2,3,1,0,0
5.3,15844,49,30,8,0,3,0,0,0,1
7.8,7001,20,47,2,4,3,1,3,1,0
6.4,15198,89,10,4,2,2,2,2,0,0
7.8,9132,27,58,0,4,0,1,2,2,0
5.4,9786,94,1,7,5,3,2,1,0,0
8.7,10531,41,74,0,1,3,2,2,0,1
5.7,18121,64,82,9,0,3,1,2,2,1
4.1,18713,38,12,6,4,3,2,1,1,0
10.0,6665,44,28,3,1,0,1,2,0,0
2.4,16851,83,29,0,3,2,1,1,2,0
4.5,3130,38,66,7,0,3,0,0,0,1
4.7,10098,69,78,5,0,1,2,1,1,1
10.0,11787,107,91,3,0,2,2,2,1,2
9.6,1155,18,44,0,0,3,3,1,0,1
9.0,14810,56,85,4,4,2,1,3,1,0
5.3,8938,51,17,8,0,1,1,0,1,0
10.0,6811,30,22,1,2,1,2,3,1,0
6.7,307,28,2,9,1,2,1,2,1,0
8.0,1482,75,96,5,1,3,1,3,2,1
6.4,14121,76,88,7,1,2,3,2,2,1
5.9,15867,11,18,2,2,0,0,3,0,0
5.5,457,27,54,7,1,1,2,3,0,1
5.6,2203,57,13,6,2,3,3,2,0,0
7.2,10366,119,43,2,3,0,3,1,0,2
6.7,14363,36,44,1,1,0,0,2,1,1
5.9,18023,58,14,0,2,3,2,0,2,0
9.0,8718,31,73,6,2,0,1,1,2,1
0.1,14048,23,17,8,0,2,2,0,2,0
7.0,2384,116,30,4,3,0,1,2,1,1
7.4,12020,90,29,1,1,2,1,0,1,0
8.3,14618,98,76,3,0,2,3,0,1,2
5.9,19043,60,98,6,2,2,2,0,2,1
6.4,8278,10,3,9,2,0,0,3,2,0
8.0,7656,40,49,3,4,0,0,3,0,0
9.0,17178,32,46,8,1,0,2,1,2,1
5.4,18514,35,69,8,1,0,0,0,2,1
6.5,12361,37,24,8,1,2,3,2,2,0
9.4,19021,68,62,2,1,0,3,2,0,1
1.8,4096,89,7,9,4,3,3,1,0,0
4.6,1125,33,59,9,5,3,2,3,1,0
8.9,19159,112,54,3,5,2,1,3,0,0
8.2,2388,56,58,6,5,1,0,0,0,0
7.0,11213,111,56,4,3,1,0,0,2,2
5.1,10848,116,50,3,0,3,0,1,2,1
4.2,17707,19,83,8,5,2,3,2,2,0
4.8,11190,106,55,2,0,3,1,2,0,1
9.1,15079,85,65,5,1,2,2,2,1,2
4.7,9739,25,10,3,1,3,3,0,0,0
6.2,19617,28,45,7,5,1,0,0,2,0
4.5,15384,82,11,4,1,2,3,2,2,0
7.7,5817,119,39,7,3,3,3,1,2,1
4.9,13169,68,89,0,2,3,2,2,0,1
5.8,13883,75,74,4,4,1,3,3,2,0
2.6,2555,102,79,4,3,1,1,1,2,0
2.8,8492,20,6,1,0,3,1,2,0,0
6.0,14326,78,47,3,0,3,2,2,1,1
3.3,5943,79,95,1,3,3,3,0,0,0
10.0,152,107,4,7,1,1,0,0,1,0
1.9,1185,95,54,8,3,1,2,1,1,0
4.4,12346,73,9,7,5,1,2,0,0,0
6.0,15524,80,75,5,3,2,2,3,2,1
5.3,2213,106,64,2,5,1,1,3,0,0
3.8,13053,99,67,9,3,0,3,1,1,0
4.1,2550,91,85,3,3,0,1,3,0,1
4.0,11564,38,25,6,2,2,2,3,1,0
5.4,18365,33,11,4,2,2,2,0,1,0
9.9,8195,20,73,6,4,3,2,0,1,0
6.2,6191,57,39,6,5,1,3,0,1,0
8.4,7815,60,78,7,4,1,2,1,0,0
7.0,19871,114,34,8,1,2,2,0,0,2
8.2,5270,89,62,4,5,3,0,3,2,0
0.4,10169,75,36,0,4,1,3,3,1,0
5.4,16461,52,34,0,1,0,2,2,2,1
8.6,11026,29,17,4,2,2,2,0,0,0
4.9,19414,76,25,1,1,1,3,2,2,0
9.5,17722,116,73,8,2,3,1,3,0,2
9.0,484,104,62,4,5,0,2,3,0,0
5.1,7316,108,20,2,1,3,2,0,1,0
5.0,17034,113,71,5,5,1,3,0,1,0
4.0,10915,46,65,3,0,3,3,2,1,1
4.7,13223,94,58,9,4,1,3,1,0,0
3.5,18442,106,2,0,3,2,3,0,2,0
6.9,18520,20,84,3,1,0,1,1,0,1
3.1,439,110,15,5,3,0,2,1,0,0
7.2,471,11,73,3,2,2,0,0,1,1
7.3,9239,81,15,6,0,3,3,1,1,0
2.7,14666,82,66,0,5,0,2,2,2,0
9.1,6893,46,46,4,1,3,1,2,0,1
7.0,5207,106,91,9,5,1,0,1,1,0
7.5,10768,104,50,6,2,3,3,2,2,2
4.5,17017,23,5,1,0,0,3,2,0,0
7.2,18919,61,56,1,5,3,1,1,0,0
8.3,17768,118,78,8,2,3,1,0,0,2
5.8,11921,35,14,2,2,0,1,0,1,0
10.0,3288,114,19,5,5,0,1,0,0,0
6.1,6151,18,86,4,1,2,1,1,0,1
8.3,8486,36,59,2,3,2,1,2,0,1
6.6,9756,101,64,4,3,1,1,2,1,1
7.2,3974,77,30,6,5,2,2,1,2,0
2.7,8088,53,73,6,4,1,0,0,2,0
6.7,7588,105,33,1,0,1,2,1,1,1
4.5,19777,72,80,0,1,0,0,0,1,1
4.3,16146,61,55,4,5,3,1,0,1,0
9.5,9409,52,25,9,1,3,0,0,0,0
5.6,19159,118,31,8,4,2,0,0,0,0
4.0,11319,117,2,3,5,3,1,3,0,0
5.3,16128,82,80,5,5,0,1,2,2,0
3.4,12942,98,53,2,1,2,1,1,0,0
8.9,8628,91,30,4,3,2,0,2,2,1
4.6,16381,107,38,6,0,3,1,2,2,1
7.1,6223,37,0,3,1,1,2,1,0,0
8.7,3078,21,74,5,1,0,1,1,1,1
5.0,1873,99,52,0,2,1,0,1,0,1
7.1,2957,61,2,0,3,2,1,3,2,0
3.9,10704,59,13,9,2,3,2,2,0,0
10.0,1303,63,91,7,4,2,1,3,0,0
7.9,13529,90,11,3,2,3,2,1,2,0
5.6,15395,48,61,3,1,1,3,1,1,1
4.5,6070,38,24,4,3,2,2,0,1,0
5.8,19356,110,16,8,4,0,2,2,2,0
5.3,14534,42,42,0,0,0,2,3,2,1
9.9,13879,64,21,6,5,1,2,1,2,0
3.5,14416,15,91,9,4,0,3,3,2,0
6.3,13848,70,23,3,5,2,3,0,0,0
6.0,9223,115,17,7,2,3,0,1,1,0
5.8,8579,115,24,4,4,3,2,0,0,0
5.8,16370,16,16,2,3,1,2,2,0,0
5.8,1992,35,10,8,3,3,1,0,2,0
7.7,10596,67,32,5,4,1,0,3,1,0
7.2,9933,54,36,4,4,1,3,2,2,0
6.8,10543,17,23,1,1,2,1,0,1,0
0.0,13,68,81,9,0,0,3,1,0,0
6.6,13462,53,60,2,3,2,2,2,0,1
2.7,19488,111,67,7,5,2,1,3,1,0
7.3,17617,112,69,2,3,2,2,0,0,2
8.9,10361,111,56,0,5,2,2,1,1,0
4.1,1481,108,86,4,4,1,0,2,1,0
5.5,13335,106,58,5,5,3,2,3,0,0
4.8,749,70,35,6,4,3,1,1,1,0
8.5,3503,71,57,8,0,0,3,0,0,1
6.2,3247,28,90,4,1,1,2,1,1,1
9.5,11509,60,86,6,1,3,1,0,2,1
6.8,17129,69,88,9,1,1,1,1,2,1
6.5,19828,104,84,0,2,2,1,3,0,1
6.1,12115,10,18,9,5,2,2,3,0,0
7.6,2178,52,27,6,3,2,3,2,2,0
2.5,7290,46,78,8,2,1,3,1,2,0
6.2,16484,21,32,9,0,2,1,2,2,1
5.9,1083,112,15,0,3,3,2,0,0,0
7.5,6607,64,52,6,1,2,3,2,0,1
5.6,5865,82,43,9,0,3,2,1,0,1
3.9,18051,38,53,6,4,2,3,0,0,0
6.0,928,27,82,6,0,1,2,3,0,1
3.8,7924,74,47,9,1,3,2,2,1,0
2.1,19000,111,23,1,5,2,2,1,0,0
7.5,1531,31,96,1,1,3,1,2,1,1
7.2,11721,61,49,7,5,1,3,0,1,0
6.9,8108,78,99,1,5,3,1,2,2,0
8.6,6160,64,33,8,2,2,1,0,1,1
4.7,455,70,22,2,3,2,2,2,0,0
3.1,15326,99,86,9,0,1,1,0,0,0
5.9,8545,61,48,4,2,3,1,3,2,1
5.3,18496,73,67,7,5,1,3,3,2,0
4.3,3012,42,11,3,3,2,1,1,2,0
5.8,7322,54,32,6,5,3,3,2,2,0
4.8,2285,104,68,4,3,1,0,3,1,1
2.3,17677,104,4,2,4,0,0,1,0,0
5.1,1977,59,1,1,1,1,1,0,2,0
3.7,7001,48,44,8,1,3,3,3,0,0
6.5,13918,21,42,2,5,1,0,3,0,0
4.7,12651,23,35,3,0,1,3,1,0,1
8.2,14081,25,0,0,4,0,2,1,1,0
9.2,10395,47,58,8,4,2,1,2,1,0
7.4,2069,118,18,7,2,2,2,2,2,0
2.9,16647,52,99,9,1,1,1,3,2,0
9.0,4850,110,64,7,2,2,3,3,0,1
9.2,13258,53,35,1,2,3,2,3,2,1
6.0,3328,100,32,5,1,1,1,1,1,1
8.6,8816,67,30,3,4,1,2,0,0,0
4.9,5752,59,85,6,2,1,0,0,1,1
2.3,10630,15,35,3,1,3,0,3,1,0
4.5,4732,96,89,9,3,3,1,3,1,1
9.5,6112,32,32,8,3,2,3,0,0,1
3.0,1103,98,20,7,4,3,0,1,2,0
6.0,11650,45,4,6,3,3,1,0,2,0
6.1,14484,49,63,4,0,0,1,0,0,1
5.0,19870,77,66,3,4,2,2,2,0,0
5.1,15994,32,22,2,2,2,0,3,2,0
6.1,2673,92,42,3,2,3,2,1,1,1
4.9,18294,107,23,7,4,1,1,0,1,0
3.2,19783,25,38,7,5,2,2,3,2,0
6.4,1524,73,29,3,1,1,2,2,0,0
8.1,10693,18,71,9,3,0,3,1,2,1
7.7,3853,75,22,7,5,3,0,1,1,0
4.4,13651,53,23,8,2,0,3,2,2,0
3.5,10043,12,40,5,4,0,1,0,1,0
5.4,12353,20,33,3,5,0,3,0,1,0
9.1,3789,34,99,5,4,0,1,0,0,0
7.3,19160,88,25,4,2,1,1,0,2,0
7.4,5230,64,25,4,4,0,0,2,0,0
7.8,5735,54,54,9,0,1,0,0,1,1
6.8,5829,20,39,8,1,2,2,1,1,1
6.2,4379,63,61,4,1,0,2,3,0,1
7.3,16408,114,12,8,4,1,2,2,0,0
4.9,8975,111,74,5,4,2,3,0,1,0
3.2,10835,111,37,4,1,3,3,3,0,0
7.4,9874,97,66,7,0,3,2,2,2,1
8.5,11612,118,2,8,1,1,3,2,2,0
3.8,10971,113,93,8,4,1,0,2,2,0
7.6,19549,74,79,2,5,2,0,2,0,0
9.4,10653,83,16,8,0,0,0,3,1,0
6.0,8810,101,69,2,3,1,1,1,0,1
4.4,3547,81,50,3,1,0,0,1,0,1
6.2,8182,36,51,8,0,2,2,2,0,1
4.9,6915,32,84,4,5,2,0,2,1,0
4.8,1258,104,2,4,3,0,0,1,2,0
6.9,16963,70,74,6,1,3,0,3,2,1
2.8,14114,37,87,9,3,0,1,0,2,0
3.1,11547,61,28,8,0,3,2,0,1,0
6.0,7189,76,70,1,3,1,2,3,0,1
6.0,6396,72,63,4,4,2,3,0,0,0
6.7,10297,49,36,8,0,0,0,1,0,1
9.8,3865,18,13,9,0,0,0,2,1,0
6.2,16005,52,85,6,1,3,2,1,1,1
7.2,19991,12,76,4,1,0,1,1,2,1
4.0,16591,76,30,3,5,1,1,1,1,0
7.5,5156,96,64,2,1,2,1,3,1,1
4.9,2371,110,50,1,5,2,2,2,0,0
6.1,6779,109,15,1,2,2,0,3,0,0
5.8,12694,13,80,9,5,0,3,0,2,0
8.1,18591,37,72,3,0,3,1,2,0,1
3.4,17078,19,36,8,2,0,2,3,0,0
1.4,16980,27,78,5,3,1,1,2,0,0
5.6,8074,15,1,5,0,2,1,3,1,0
6.9,15399,113,13,5,3,0,3,2,1,0
6.3,16580,12,82,1,1,3,2,0,1,1
8.5,10030,32,3,7,3,3,1,3,2,0
6.9,10186,49,93,7,4,1,3,0,2,0
4.9,8171,42,58,8,3,2,1,1,1,1
1.3,13690,34,29,8,1,0,1,0,2,0
5.5,2430,37,44,7,4,2,0,0,1,0
8.1,13685,73,5,0,0,0,0,1,2,0
5.2,5154,84,67,3,4,2,1,0,2,0
6.1,8110,12,22,7,4,2,1,0,1,0
6.8,1550,64,63,5,3,3,2,3,1,1
4.0,6086,64,100,3,3,3,0,1,1,1
7.2,18256,30,40,1,4,0,3,2,0,0
9.3,5255,88,68,2,4,1,0,2,0,0
5.7,3112,109,89,5,5,0,0,1,0,0
3.7,1408,13,4,2,3,1,1,1,0,0
5.9,14751,54,28,8,5,0,1,3,2,0
1.6,5634,51,14,5,0,2,3,0,2,0
6.7,7503,56,53,0,4,3,1,3,2,0
6.9,19132,67,64,8,5,1,0,0,2,0
9.4,8632,102,54,7,4,1,1,1,1,0
5.6,2282,72,30,8,5,2,2,1,2,0
6.8,17431,79,31,2,4,1,1,2,0,0
4.3,19834,33,38,0,1,2,2,2,0,1
5.3,3425,37,23,8,2,0,3,2,0,0
2.9,8675,90,79,4,1,3,3,2,2,0
5.6,19273,42,71,5,5,0,0,0,1,0
5.4,3377,96,67,9,2,1,2,2,0,1
6.6,15769,52,14,5,1,0,1,0,0,0
4.8,6879,14,54,6,0,1,3,3,0,1
6.2,17663,62,24,0,0,0,3,3,2,0
5.3,937,93,98,3,1,3,2,2,0,1
5.3,12476,107,1,6,4,2,0,1,0,0
6.2,19098,91,79,5,2,1,0,1,0,1
6.1,7113,47,53,0,2,2,2,2,1,1
7.5,11071,68,83,3,4,2,1,3,2,0
5.8,14032,10,86,0,3,1,2,1,0,1
5.3,19889,71,38,9,5,0,1,2,1,0
5.6,7243,28,39,7,1,1,3,0,2,1
4.6,12240,84,64,7,0,1,0,1,2,1
5.3,2164,26,97,4,0,0,0,2,2,1
10.0,19676,50,81,8,3,3,1,0,1,1
4.2,9039,96,42,1,0,2,1,1,0,1
5.4,14603,11,52,0,4,0,1,1,1,0
5.2,3592,60,62,4,1,3,2,3,1,1
5.5,19120,103,47,4,1,3,3,1,0,1
5.3,14713,30,84,7,4,2,3,1,0,0
6.6,8237,34,71,0,4,3,2,0,2,0
2.6,10814,46,23,7,5,0,2,3,2,0
8.1,12043,46,24,0,1,2,2,0,2,0
7.3,5603,64,0,9,5,1,1,2,2,0
3.5,14783,22,48,1,5,1,0,3,0,0
1.5,15189,46,6,5,0,2,3,2,1,0
4.0,2983,35,25,3,1,1,1,3,1,0
5.5,14440,11,41,2,1,2,1,0,1,1
10.0,1558,72,33,8,2,2,2,0,1,1
7.1,16720,96,79,9,3,0,1,3,0,2
2.4,14223,84,92,9,3,2,2,2,2,0
4.6,1874,75,98,5,0,2,0,3,2,1
5.9,6881,15,46,0,3,3,0,3,2,1
6.5,12507,67,35,4,3,0,3,0,1,1
3.4,11416,57,60,5,1,0,2,0,0,0
5.7,744,83,5,2,5,0,2,3,1,0
4.6,19625,63,42,4,4,2,2,2,2,0
3.8,1139,72,44,9,4,3,3,0,1,0
6.5,16757,81,3,8,1,0,0,1,2,0
7.5,12595,58,21,8,0,3,1,3,2,0
7.7,6809,22,17,7,5,2,0,0,0,0
7.1,4573,14,98,5,5,2,2,1,0,0
5.0,1567,96,94,7,1,1,3,0,2,1
7.4,15727,95,86,0,0,2,2,1,0,2
6.6,10721,103,16,0,2,1,3,3,0,0
6.3,7548,111,51,0,0,1,0,1,1,1
4.8,12435,43,23,1,5,0,0,0,0,0
5.0,8038,13,31,7,1,3,2,2,1,1
6.1,8440,83,49,1,5,3,3,1,1,0
10.0,8004,98,73,8,0,3,2,3,0,1
6.6,14289,116,34,1,0,1,0,2,1,1
4.8,16003,83,13,7,2,0,1,2,2,0
4.3,18452,43,62,6,5,1,0,2,1,0
5.0,1194,113,69,2,1,0,2,0,0,1
10.0,13394,26,93,9,4,0,0,1,0,0
5.2,18726,102,4,7,5,0,3,1,2,0
7.8,12952,99,78,1,4,1,1,0,0,0
5.2,9328,10,59,6,5,1,3,0,0,0
6.5,16545,46,34,3,4,0,2,0,2,0
7.6,948,17,92,4,5,3,0,3,0,0
4.9,2537,34,12,1,0,1,1,3,0,0
4.7,18295,81,34,2,0,3,2,2,2,1
9.3,18548,87,69,3,1,0,1,1,2,2
8.0,11130,55,75,1,0,3,0,0,2,1
7.6,9435,88,54,2,4,1,1,2,2,0
7.6,6258,92,99,0,1,0,1,0,1,1
6.9,13655,114,61,2,4,3,0,2,1,0
10.0,649,104,48,6,1,0,3,3,0,1
6.1,18564,56,55,5,0,0,0,2,0,1
7.2,12981,21,3,2,4,2,1,3,2,0
3.1,4361,71,36,9,2,3,1,0,0,0
4.4,19892,93,6,3,4,2,3,0,1,0
3.6,15185,30,51,7,3,0,0,0,0,0
8.5,15550,86,12,9,2,0,2,3,0,0
0.9,15697,72,92,8,5,2,3,1,0,0
5.2,15765,113,60,1,0,3,2,3,1,1
0.0,10622,40,80,8,0,2,2,2,1,0
4.3,10674,81,40,9,2,3,3,1,0,1
5.0,1667,64,0,9,0,1,2,2,1,0
8.8,13413,90,82,6,0,3,1,0,1,2
6.8,4442,35,64,0,0,0,3,2,1,1
4.3,15483,119,66,5,5,1,3,3,0,0
8.1,9088,20,75,7,5,2,2,3,2,0
6.0,13219,51,15,2,0,2,3,0,0,0
6.1,9456,17,96,2,2,3,0,0,1,1
3.6,12358,13,58,6,1,0,3,1,0,0
4.0,12511,104,95,9,4,2,3,2,0,0
4.3,13607,38,0,3,4,0,3,1,2,0
6.1,4284,117,11,6,3,0,2,0,1,0
6.2,12403,13,98,6,0,1,2,1,2,1
9.1,14409,73,18,2,2,3,1,0,1,0
6.8,3858,106,61,5,3,3,2,1,0,1
0.6,19896,88,67,9,0,3,3,0,2,0
6.5,10509,96,66,3,0,3,1,2,2,1
3.1,8039,80,97,0,1,2,0,1,2,0
4.1,13277,10,61,8,3,0,2,2,1,1
4.4,14094,14,60,3,1,0,2,2,2,1
4.7,14652,119,54,2,3,2,2,2,1,1
3.2,4369,96,21,6,1,1,3,3,2,0
6.4,8725,80,42,9,4,3,0,1,1,0
3.2,12248,115,21,0,0,0,0,3,1,0
6.7,3082,52,31,2,1,0,2,3,0,1
10.0,15976,107,25,5,1,1,3,3,2,0
3.3,9400,16,81,3,5,2,3,0,2,0
5.4,6925,51,77,4,2,2,0,1,0,1
1.0,1931,78,94,8,0,3,1,1,0,0
5.4,13575,23,16,5,5,0,1,2,0,0
7.3,7809,77,77,0,5,1,3,1,0,0
7.4,12128,74,72,8,3,0,2,0,2,2
6.2,9499,59,58,0,5,0,3,3,1,0
7.8,7257,79,34,1,4,3,0,1,0,0
10.0,12639,22,12,6,1,2,2,3,1,0
9.4,5630,21,68,8,0,1,1,1,1,1
5.0,15151,113,64,4,2,2,1,3,2,1
3.1,3812,117,31,3,0,2,3,1,2,0
5.2,5315,72,72,4,0,3,0,1,2,1
4.1,16647,44,77,9,5,0,1,3,0,0
6.9,5146,75,98,9,3,1,2,0,2,1
3.6,5352,48,61,7,0,2,0,1,2,0
5.9,12627,73,14,6,1,2,0,0,0,0
7.7,15543,66,17,5,5,2,3,2,0,0
5.8,14933,49,93,0,3,0,3,3,2,1
4.1,4563,70,81,0,3,3,2,0,0,1
8.3,6396,41,76,0,4,1,3,1,0,0
2.2,2286,62,33,4,2,0,3,1,2,0
5.3,7131,76,28,8,4,0,0,3,1,0
5.9,14499,79,64,2,4,2,0,2,0,0
6.0,4159,62,21,8,0,3,1,0,1,0
6.4,17124,14,71,3,1,1,2,1,0,1
7.2,15353,63,43,6,1,3,3,2,0,1
5.9,5468,72,27,8,3,0,0,0,2,0
5.3,2029,49,55,9,5,2,3,0,2,0
5.2,19557,80,8,2,5,2,1,0,0,0
4.8,7032,38,71,5,5,2,2,0,1,0
7.6,5497,113,58,0,2,1,0,1,2,1
4.7,14476,57,63,6,0,1,3,3,2,1
7.7,14245,78,42,0,0,2,1,3,1,2
6.0,18071,82,30,3,1,1,1,1,1,1
5.0,4257,109,88,7,4,2,2,3,2,0
7.2,8038,41,12,0,1,0,2,1,0,0
4.5,565,16,5,8,0,0,3,3,2,0
7.3,2881,43,88,9,1,2,0,0,2,1
6.4,7994,78,59,9,4,2,1,1,1,0
4.8,9436,30,30,9,0,3,2,1,1,1
7.1,8003,116,10,7,2,3,0,3,2,0
7.1,14265,93,56,8,0,2,1,0,1,2
8.3,16845,109,65,9,2,2,1,0,2,2
7.9,13836,74,47,1,4,0,0,2,1,0
7.0,734,98,56,9,5,3,0,0,2,0
3.7,12997,35,22,1,3,1,0,0,1,0
10.0,16107,52,64,1,4,2,3,1,2,0
3.2,16172,17,51,9,0,0,2,2,1,0
7.9,4806,101,46,9,3,3,1,1,1,1
6.9,5056,119,57,3,1,3,2,0,0,1
3.7,11579,91,74,0,3,0,0,3,0,0
5.8,9424,22,9,0,3,0,1,1,2,0
5.8,12605,63,78,2,1,1,1,0,0,1
8.6,5264,116,41,2,4,1,3,0,0,0
4.6,3167,110,41,6,1,0,2,1,0,1
5.5,11756,37,36,2,4,2,1,0,0,0
1.3,15662,118,90,6,3,2,1,0,0,0
9.5,19478,59,9,4,2,1,1,0,1,0
3.9,18469,35,78,0,2,3,0,2,0,0
6.7,6335,42,43,4,3,3,1,1,0,1
5.8,10070,13,83,5,3,2,1,3,0,1
5.8,15881,85,12,6,4,0,2,0,0,0
7.6,16770,81,60,4,0,2,3,2,1,2
9.3,605,80,10,1,4,3,0,2,0,0
6.5,18851,106,24,3,4,2,2,0,1,0
7.3,5581,47,49,5,2,0,0,3,0,1
6.7,13860,44,62,7,4,2,3,0,2,0
8.0,14954,50,70,1,1,3,1,2,2,1
5.1,18768,92,56,2,1,1,1,1,0,1
8.2,11089,29,17,7,2,0,2,1,2,0
8.2,8308,34,92,0,0,3,0,2,0,1
8.2,19778,66,82,0,1,0,3,2,2,1
4.7,4095,32,88,2,1,2,3,0,2,1
5.7,19751,19,4,8,1,3,3,1,1,0
6.5,10281,89,59,8,5,2,0,0,2,0
3.3,8765,104,43,6,3,1,0,0,1,0
9.2,4332,111,16,5,4,1,3,3,2,0
6.0,14030,78,43,3,4,3,2,2,0,0
6.6,4275,33,62,1,3,0,2,0,0,1
4.8,5696,109,7,5,5,2,1,3,2,0
3.3,19442,73,37,0,3,1,3,1,1,0
4.8,10979,81,94,8,1,3,1,0,0,1
6.4,9681,20,29,6,3,3,3,2,1,0
7.3,13507,103,33,3,2,1,3,2,2,2
6.3,8900,102,51,2,5,0,0,3,1,0
6.7,2290,69,0,7,5,1,1,1,1,0
5.3,12772,66,12,4,0,3,0,0,1,0
7.0,6405,114,95,0,4,1,3,2,2,0
9.0,7730,95,60,0,4,1,2,1,1,0
7.4,14337,39,31,2,5,3,3,0,2,0
7.6,7447,93,28,7,2,3,1,0,2,0
6.6,10549,87,47,1,3,2,3,3,1,1
3.0,14467,62,59,7,5,1,2,1,1,0
3.9,14815,35,63,5,5,3,2,2,0,0
6.9,15029,113,18,0,1,3,2,1,2,0
6.0,15361,11,45,3,5,2,1,0,2,0
6.9,16460,52,55,0,4,3,2,0,0,0
9.4,14203,42,11,9,5,3,0,2,2,0
7.5,14832,78,57,9,5,1,1,1,0,0
8.5,2625,59,15,0,1,0,3,2,0,0
6.2,17469,101,51,4,5,3,1,2,2,0
4.4,18770,93,53,0,0,2,1,2,2,1
5.9,969,79,88,6,0,1,1,1,0,1
4.4,11207,94,33,3,2,2,0,2,2,1
9.1,11961,108,1,7,2,2,0,1,0,0
7.6,11620,28,64,5,1,0,3,3,0,1
7.0,16524,82,94,9,2,3,3,0,1,2
8.5,6692,109,91,2,4,3,2,2,2,0
2.0,13942,82,52,4,5,2,0,0,2,0
7.2,9185,25,15,7,5,0,0,3,0,0
3.4,12520,110,51,1,0,0,3,2,0,0
6.0,12425,61,2,6,3,0,2,0,1,0
5.4,12535,78,6,7,0,2,1,2,0,0
7.3,2062,85,55,2,2,2,3,0,0,1
6.5,13312,32,91,8,2,2,0,1,1,1
8.7,16956,36,94,2,1,0,2,2,2,1
4.8,13159,115,100,6,4,3,2,3,0,0
7.4,5366,74,99,6,3,0,0,3,2,1
6.3,69,20,34,6,1,3,2,2,1,1
2.7,8029,98,40,6,4,2,0,3,0,0
4.2,5716,57,17,9,4,2,3,0,0,0
5.7,6775,86,82,9,4,0,2,0,2,0
8.2,6269,33,23,7,5,0,2,3,0,0
6.9,6359,110,99,6,5,0,3,2,2,0
3.7,13074,60,11,2,0,3,2,1,0,0
5.7,5273,75,16,1,5,1,2,3,1,0
10.0,233,75,30,6,2,2,0,3,0,1
6.2,15786,48,38,2,3,1,1,3,1,1
5.3,15144,43,14,1,5,3,1,1,2,0
7.0,13638,43,19,7,5,2,0,1,1,0
7.5,8384,51,51,3,4,3,1,3,1,0
5.1,4555,78,49,8,4,2,3,0,1,0
7.0,2104,51,68,7,2,2,3,0,2,1
5.3,4143,24,45,2,5,1,3,1,0,0
7.4,16512,66,68,0,1,3,0,2,2,1
6.3,6160,19,100,1,5,2,2,3,2,0
7.0,19538,79,94,5,1,1,3,0,0,2
4.5,4524,60,83,6,1,3,1,3,0,1
4.4,10570,66,31,7,2,2,3,3,2,1
7.9,3681,92,80,4,4,3,1,2,0,0
5.8,15798,33,60,7,5,2,1,1,1,0
6.6,5086,31,79,5,4,3,2,2,1,0
5.4,19662,45,97,3,1,1,2,1,2,1
7.8,9596,111,53,1,2,0,1,3,0,1
4.8,17284,102,94,2,1,3,2,0,1,1
5.7,538,61,15,7,0,1,2,0,2,0
7.6,11878,65,24,8,2,2,2,1,2,0
8.3,5802,80,14,1,1,0,0,2,1,0
5.0,17635,101,93,9,3,3,2,2,1,1
9.9,619,25,83,1,2,3,2,0,1,1
6.6,1704,68,85,2,5,3,2,0,1,0
3.9,18133,117,99,9,5,0,1,3,0,0
6.7,14483,93,16,6,5,0,3,1,0,0
5.2,15577,54,94,5,3,0,1,1,2,1
6.9,11834,46,89,3,3,0,0,0,2,1
5.9,9623,49,28,2,5,3,3,3,0,0
6.1,15769,103,23,8,3,1,3,2,2,0
4.2,6221,65,21,9,0,1,1,0,2,0
8.0,6769,107,10,8,5,0,3,1,2,0
3.7,12441,38,83,0,4,0,3,2,2,0
3.8,16671,51,18,8,4,3,0,1,2,0
6.7,13347,83,26,0,2,1,1,3,1,0
9.2,4334,103,9,6,5,0,3,2,1,0
5.3,760,47,76,6,5,2,2,3,1,0
7.4,6742,14,22,3,3,2,1,0,2,0
8.1,295,84,44,8,2,2,2,2,2,1
7.6,402,37,39,9,3,0,3,0,1,1
5.4,4482,83,82,8,1,3,3,3,0,1
3.8,10354,35,68,4,2,1,0,1,2,0
1.6,11451,79,54,7,4,0,1,2,1,0
5.5,8224,114,63,6,5,3,2,2,2,0
8.4,16233,41,41,8,3,2,1,0,2,1
3.8,1935,46,44,1,4,0,1,0,0,0
7.4,10354,38,82,5,3,0,2,2,1,1
4.1,8636,77,65,3,1,3,2,2,2,1
6.2,18969,66,75,9,3,1,1,1,0,1
7.4,5622,45,70,0,3,2,3,3,2,1
4.7,9743,52,46,6,0,0,3,2,1,1
6.3,9837,113,3,8,5,3,2,1,1,0
5.2,16027,43,8,4,3,1,1,0,1,0
